lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (40:0),0.8173571173635823,8.245506597798563,152.31475458182666,5.40797175742561e-35,1.1573059560890805e-32,846.7 -> 184.1,PC,3582.7602043171,4279.8402442929,4418.7403068531,3236.7202148444,3428.5602149991,5355.7803459133,4947.9003410322,5013.6803817743,3236.9202308652,2687.8201560985,1880.8401451113,1874.9801292417,2297.6001434324,1911.1801261892,2646.5801963816,2032.5801506036,1443.9400939939
C24:6,-0.675787590518625,13.076584953034997,108.56671013040159,2.0193801732144906e-25,2.160736785339505e-23,355.3 -> 355.3,FFA,99805.086807255,97530.0070114081,69527.94506835,68416.284500145,67194.885078423,64808.584915178,60933.884231551,61963.484054558,126612.969070435,127581.609184242,107903.587776189,105740.646774279,105358.707313529,116484.568084706,108761.207870452,105081.787696843,33288.402328494
C20:3,-0.6592589082843144,12.764666731246328,103.33293579855717,2.833042178108567e-24,2.020903420384111e-22,305.3 -> 305.3,FFA,86605.5862960637,94101.2665099701,54909.7837066531,54648.9639739935,55595.2241287162,44640.5832176248,45241.4832458572,45566.3033409181,84706.3659439036,99818.926857031,76551.6655578451,86832.686111413,85767.506088252,88467.4263458255,103902.327102672,102499.846961965,18531.941375734
SM (d18:2/24:1),0.47290792753719324,8.230246531467783,51.33537527341301,7.785988209261926e-13,4.16550369195513e-11,811.7 -> 184.1,PC,3044.0802192674,3186.6602363587,3845.2402648934,3645.8202629083,3954.6802787781,4334.4402847291,3215.1002540596,3617.3802986145,2600.8001861576,2393.8601646433,2473.7001953121,2719.3802108772,2427.8801574697,2494.5601997377,2136.6801567071,2627.140167237,5050.7403602613
C16:1,-0.4413497814896029,12.493947621569227,46.516839502090306,9.083448162068647e-12,3.8877158133653806e-10,253.3 -> 253.3,FFA,56365.203819268,56036.0040588252,53915.2235221834,51631.7037811209,51308.8837280256,58684.2841606117,55645.6839179934,53020.6437988022,64987.4644012281,66456.904888157,78692.2852172719,78897.0261421316,78206.8855895964,69331.8847656582,67039.9048003987,64047.564067819,17972.8213386525
C15:1,-0.43275947662421166,13.93701894949592,44.78690479274748,2.1968703300329748e-11,7.835504177117609e-10,239.3 -> 239.3,FFA,144628.330406214,200842.734741171,105934.767425546,117084.368324247,151430.470596336,113732.327728271,165947.632301279,194505.57360841,151155.789962757,190416.554336562,172547.131896955,180616.911972062,198708.412429805,165488.291351286,215802.195724511,266690.27923584,37924.2226715055
SM (d18:0/22:0),0.4338492766855626,8.199858992926107,43.16939877046117,5.019970400323614e-11,1.5346766652417905e-9,789.7 -> 184.1,PC,3060.0201911931,3326.5202980045,3537.1002426153,3327.300209046,3180.0002250673,3303.3802757271,3706.1802406318,3935.8402404793,3028.6802062989,2236.0001716619,2423.400196076,2222.7201614359,2700.0401916509,2621.1001663215,2068.9401283254,2100.5801467917,5912.8204383852
SM (d18:1/16:0),0.41620914924574054,10.043240636041117,40.92543245803205,1.5814962079608656e-10,4.230502356295315e-9,703.6 -> 184.1,PC,10010.9407043455,9280.3806114214,11637.420867908,10438.7205467237,12171.7208862234,11162.7607841543,12319.7409248342,12067.9208374033,8040.180591581,8350.6806754991,8582.1406669686,8441.6006545985,7543.740547186,7917.6206016595,7455.42056274,7543.400596615,37158.8032455607
SM (d18:1/24:1)15Z)),0.3891340759856696,9.092207498015473,35.393702960081086,2.6935631623582634e-9,6.404694630496316e-8,813.7 -> 184.1,PC,5396.3403511036,4973.7003288277,6144.6203956623,6067.0004005427,5553.7004623454995,6697.5205345158,6375.9805297817,6389.7004203819,4305.5803184503,4651.7802925109,4789.9203910815,4569.6602554313,4911.8403320255,4121.9402313232,3212.8202476505,4207.8402519216,15759.3212776419
Lyso_PC(20:3),-0.3836129147651413,9.482744610552672,34.68913101656061,3.867850599659977e-9,8.27720028327235e-8,546.3481 -> 184.1,PC,6568.7404747019,5668.3804359427,6685.3004608164,7396.2405967717,7438.420452118,7154.4205474847,6965.8205184922,7603.2605552669,10156.4407920876,11005.0408248979,9208.5806770337,10456.4008445772,9026.9606018091,6629.9005126961,7059.2204742431,5779.0803642279,2050.5401153562
PC (38:3),0.37816888021002537,8.30150092191857,32.96012473678675,9.406857572263074e-9,1.8300613822402707e-7,812.6 -> 184.1,PC,3742.0402641286,3221.9602355952,3864.3402862565,3522.6602439877,3595.74024582,3938.0802688604,3487.2202529913,4325.5603027354,3032.0401916514,2506.5801658651,2754.4202232348,2755.0801696788,2754.3402175892,2373.8001670831,2662.1001625078,3008.2002410878,4873.6803550732
