lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,C1.cells,C2.cells,C3.cells,C4.cells,C5.cells,R1.cells,R2.cells,R3.cells,R4.cells,R5.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,C1.media,C2.media,C3.media,C4.media,C5.media,R1.media,R2.media,R3.media,R4.media,R5.media,blank.media,blank_solvent
PC (30:1),0.8190174383870261,12.310598767019382,85.26727300869123,2.6064164954475304e-20,7.824462319333486e-18,704.5 -> 184.1,SM,31227.4217872547,30717.4021339437,50608.3038635204,28017.5217857349,38584.6825027283,54610.7044868423,56162.6245041214,77374.6649932879,69682.3456153385,58844.2245254057,5689.2204894951,-0.3220103708768628,9.81179793979833,12.292792599369776,4.547108484998165e-4,0.009830608601501353,704.5 -> 184.1,SM,8876.3205833457,9153.8807449292,8913.3006629863,7814.5605163606,9710.8807296728,7385.5805282546,6448.5204467762,7187.0004768344,7582.2405471805,6897.0003929174,1776.400135041,1207.340087891
PCo(34:1),0.7768899713081181,12.431461114867382,76.83723674252205,1.8564410880613583e-18,2.5331982483455445e-16,746.6 -> 184.1,SM,38364.0224075477,28808.302394872,55333.3628272152,32897.8822631948,44384.9035949805,66909.1653671058,63866.1638373662,75834.2458190809,76010.585842093,60452.3045196109,2548.8801803597,-0.41757587548649927,9.728105989202518,20.628088259820785,5.5771834903188924e-006,1.8603005375485905e-4,746.6 -> 184.1,SM,9472.2607307314,8670.2004928692,8580.0205726654,7781.7806129518,8961.4005622906,7173.8205223061,5742.6404647817,6340.2404747037,6243.8804397543,6959.0204467786,1215.4800834654,1068.2600898745
PCo(36:1),0.7808348808456809,10.114944959178416,76.97564078804429,1.7307960151139343e-18,2.5331982483455445e-16,774.6 -> 184.1,SM,6993.220508572,5439.7603721624,11093.1208343484,6716.8405265782,9400.7006683381,13519.500923163,12839.9607658381,14891.1409530704,15758.9809417759,11261.0606727646,1517.2201118468,-0.286712006068845,8.207458021147522,9.48971113014872,0.002066273510925049,0.036063680696494176,774.6 -> 184.1,SM,2754.2002067554,2911.140182494,2413.3601303113,2636.2201728831,2987.8602027887,2127.2201499946,2152.1001586918,2116.1001586903,2526.9401779169,2285.1001472476,1945.6801376349,1094.8800849914
SM (d18:1/16:0),0.7487113740137044,13.03695954259239,71.47341065010988,2.8101968782437646e-17,3.5150879285365755e-15,703.6 -> 184.1,SM,51755.8233909084,58856.0635718929,83044.7049980481,45240.4029083676,65014.8051453832,86008.2059401616,92402.906398763,111409.347881338,120824.926422148,100854.824260759,14029.7012100168,-0.4337286794742993,10.567587054808067,22.376185081855812,2.241361218439038e-6,8.410707972192489e-5,703.6 -> 184.1,SM,16776.1014251637,15016.5412139969,15261.9607047982,13311.5408058194,16840.5209541227,11251.1008644149,10298.7208061239,12491.440906521,10284.7208023067,12686.3609847893,3844.0403137195,2306.7001571667
Lyso_PC(18:1),-0.7243118753694445,9.615998716474973,66.06438494152438,4.3643100976684165e-16,5.039099582000226e-14,522.3481 -> 184.1,SM,8301.3007011426,9143.3005981476,12648.4210014256,8083.4805259637,8952.1806869415,6205.2606010473,5192.9403495822,7062.7604599033,5973.5804138134,4161.0403022765,1661.2801017767,-0.7090613232008498,10.434707225049284,59.38322197094366,1.2977078795073639e-14,1.4983534824158103e-12,522.3481 -> 184.1,SM,16267.12126161,15136.0012283451,17353.8412475674,13075.4209937991,14648.201145172001,9523.94070434,8646.3006896924,10408.440864563,8354.9005584672,9740.3406677314,2799.0202064507,1043.7000694276
Lyso_PC(16:1),-0.7165528226883656,9.313317325335603,64.44065870499747,9.948389444412222e-16,1.0666094682901961e-13,494.3168 -> 184.1,SM,6987.5004882805,7163.4405212411,8372.1406021125,8042.8405761729,7078.1204910257,4710.0203971853,4717.8403587348,4736.3603019714,4985.1003532426,3828.120292665,2039.920131684,-0.8731724132280948,10.860269494161829,89.78485672165857,2.6551885156430322e-21,7.970875923960382e-19,494.3168 -> 184.1,SM,21682.0816306991,21384.3011588859,22217.3015670965,20935.6016159013,21757.2216682435,13337.2408790562,10777.5207672104,12060.0608024614,11701.8006973256,10986.6806335371,2291.0401535032,2044.9001426693
PC (36:1),0.6760093605627695,12.094590891603731,58.31419223423456,2.2342647268204326e-14,2.0960195968484184e-12,788.6 -> 184.1,SM,28456.6221427958,29520.4215278648,46017.9030265924,23697.1417770503,36769.8625717245,50375.3636321544,45672.7440300104,58163.0836944787,62134.105396273,46895.9242211074,4080.72026825,-0.5291385813688191,9.456476856061045,32.938003017397484,9.514506930793518e-9,4.924577552800369e-7,788.6 -> 184.1,SM,6574.1604232749,7009.0805358827,7202.4204597524,7058.2206115761,7782.1606178365,5244.1204490644,4480.1402854932,5195.2603530875,5022.7203712486,4714.8403739931,3599.7202262875,1226.7400741581
PC (36:2),0.6453748727145096,14.603624864472694,53.304171378332015,2.8569922411938515e-13,2.3824140855733172e-11,786.6 -> 184.1,SM,173704.911529575,176238.431717009,246321.376747173,149551.552810688,207652.115551047,285548.364116603,276684.183128318,336524.285991694,337809.98540496,258135.019702994,10016.2407684346,-0.8354066647088203,11.197258935296693,82.38116620590861,1.1221800072543933e-19,2.1054902386110555e-17,786.6 -> 184.1,SM,24105.3016014085,26250.8021774315,26078.9017372074,25000.4618835437,28411.1419067532,15587.0012474121,12565.8209953335,15565.3011207573,14397.5011367764,14555.7009849536,11064.9207878084,1828.000133514
SM (d16:1/24:0),0.6455843478218343,13.387846821951547,53.30679495120789,2.8531791368342893e-13,2.3824140855733172e-11,787.7 -> 184.1,SM,74613.5645751323,76710.4455566853,107521.646850627,62808.9853897849,88560.6667443367,121363.727642039,117272.550300508,145305.049987676,146438.252212641,112711.447055783,5034.8803825333,-0.7036545518148735,10.17029025494828,58.36931816541187,2.1725286090127244e-14,2.3292610300914993e-12,787.7 -> 184.1,SM,12534.1609764105,11404.8006935147,11639.4007911692,11848.0407142732,13688.0407943701,8391.8805198662,6611.2204132095,7388.240562439,6747.4604911834,8307.2005996671,6231.5004425046,1617.4801177965
PC (38:2),0.6420655071946635,10.937553829927658,52.48481118991991,4.3358878720290683e-13,3.425351418902964e-11,814.6 -> 184.1,SM,12356.780715938,13813.8810005036,21325.0613555845,11315.0207595826,15682.2412643433,21650.7610969566,21897.7011795191,25444.4012298559,26240.36189653,21209.1414794898,2644.7601852426,-0.5078003951088592,8.858613437766072,30.103622019361463,4.095655496316231e-8,1.8081114411678421e-6,814.6 -> 184.1,SM,5581.7004928587,4836.9803199775,4142.1202621444,4267.2203788754,4909.920322419,3765.2001953117,3308.4802474965,3372.1402435304,3156.5602455144,3057.760211944,1826.0401229855,962.2200698854
