lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,Control1.cells,Control2.cells,Control3.cells,Control4.cells,RAC1.cells,RAC2.cells,RAC3.cells,RAC4.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,Control1.media,Control2.media,Control3.media,Control4.media,RAC1.media,RAC2.media,RAC3.media,RAC4.media,blank.media,blank_solvent
SM (d16:1/18:1),0.6134620289898447,8.463868137549897,50.49345989130519,1.1956256942704337e-12,2.5637630958570297e-10,701.6 -> 184.1,SM,2101.7201461804,2629.7402000424,2095.5601387027,2547.7401771541,3730.4802742011,3394.5402297963,3837.1402931212,3384.700275422,1557.0001258847,-0.356964616011433,8.066321965190584,12.765980580947765,3.5298050363566147e-4,0.03116610211512517,701.6 -> 184.1,SM,2060.2801551805,1919.4801216132,2120.7401466359,2373.4201927182,1844.3201484663,1747.8801307685,1406.6200942989,1609.6801185608,1651.7801170345,1199.1000823978
SM (d18:1/16:0),0.4331969235020148,12.873684943404331,26.498373486793803,2.6376009842983096e-7,1.8852567035389348e-5,703.6 -> 184.1,SM,53624.9643935992,60121.884288805,53275.8242531167,56000.2843055925,85894.2462767877,76521.8449172308,81840.2857933106,57260.3843535967,14029.7012100168,-0.3204859084171599,10.41007069539642,10.784664677842805,0.0010234444258112837,0.06144760332570947,703.6 -> 184.1,SM,6707.6804847714,14233.5408630425,9874.3607559138,14191.4408340379,12706.7409095725,7322.5805625807,7893.9605255092,8142.1803970334,3844.0403137195,2306.7001571667
PC (36:2),0.4133707785529255,14.259614048569762,24.170750634661836,8.81611027817484e-7,5.753470229365407e-5,786.6 -> 184.1,SM,138922.829021575,179798.370391946,153196.290511998,127503.028209632,208015.431350779,187114.734851715,238647.079387768,165099.553993194,10016.2407684346,-0.4099958500626031,11.139937001953454,17.69886067391323,2.5878155331916477e-5,0.006473851858867771,786.6 -> 184.1,SM,10380.1007308911,20469.7412033017,20952.4614944652,22279.8414459169,22586.6217727665,10024.7408332866,11534.5208358776,11667.0408744686,11064.9207878084,1828.000133514
PC (34:2),0.40909486454814487,14.34137415469871,23.67609884206814,1.1398946677058039e-6,7.129091234276715e-5,758.6 -> 184.1,SM,159040.511260987,186963.213104268,151030.351631235,139625.068443281,225542.011726314,197759.316871569,245258.735462214,177488.913555113,7705.2405929553,-0.3960134970559106,11.176711153049261,16.511813313136713,4.8347904623608115e-5,0.007324826774158915,758.6 -> 184.1,SM,9931.6606597877,18795.5611495963,20717.601600645,21671.921791077,21355.5216369592,10370.6008758549,10575.6007499643,11791.080890658,19502.9813156149,1810.4601364139
SM (d16:1/24:0),0.38276281997707834,13.060732146953496,20.71100950208222,5.340804328112417e-6,2.672182432165579e-4,787.7 -> 184.1,SM,63340.7850113029,77916.6254844519,64626.5842094388,58076.0644188761,89959.6063422949,80345.3867301987,101038.766494743,73051.2047728773,5034.8803825333,-0.33048858532171554,10.165195351857763,11.437296559268816,7.198444816304593e-4,0.04697767682292693,787.7 -> 184.1,SM,5976.480419159,10313.4807662986,9545.8807220542,10632.6608657926,10101.6805953935,6625.8805198656,5624.9403190577,6665.0604705823,6231.5004425046,1617.4801177965
SM (d18:1/20:0),0.3463239167151798,13.347254537635132,16.970395151852788,3.7967244563513244e-5,0.0014612521561495739,759.6 -> 184.1,SM,82766.8262023826,94420.4269562602,76020.5846977299,74061.1848144979,113855.608100909,96429.5480079253,119203.387676244,86940.2468070585,4516.5203933687,-0.3310966607653382,10.393322783356151,11.499156040478915,6.962779735092947e-4,0.04697767682292693,759.6 -> 184.1,SM,6892.8405494591,11318.7808647078,10817.6407661411,12843.4410667363,12526.5209045457,5718.1004867509,7206.0804595947,7839.4605674825,8860.3605575611,1196.9800872808
PC (32:1),0.3394523361554582,15.108745294115696,16.32356936923403,5.3395682834649175e-5,0.0018638818589490327,732.6 -> 184.1,SM,280794.994514485,327852.324676365,262986.258735692,243890.734237811,374883.849811451,331894.681125549,406800.270294199,298909.556484195,8971.8206138537,-0.35918648063297604,12.254068869415319,13.647710417636077,2.205100447894193e-4,0.022181553106031007,732.6 -> 184.1,SM,25225.2819137646,46183.722831721,44617.263843509,53780.123733497,49311.783645652,24103.3417091365,28402.9621963534,30609.042755124,2577.6401748646,1960.8001441956
PC (32:2),0.33730445875221643,12.70797539477875,16.085685423184515,6.0539922764877825e-5,0.002019342757112925,730.5 -> 184.1,SM,54315.4034119635,60757.8246231782,49920.0633888279,46067.8043441965,73618.165111496,62061.5443381222,77531.96678162,53720.7637138253,2428.0601577759,-0.39782080021451977,9.721033843631016,16.49417978538834,4.879964539746113e-5,0.007324826774158915,730.5 -> 184.1,SM,3800.9202232355,8167.1405563343,7957.4005775473,9213.0806312482,8711.0005264296,3962.2802200322,4890.6602516181,4572.1403160057,1390.7600898739,1216.5400772095
PC (36:3),0.2940410613594566,12.575978553037102,12.227667423068432,4.708602803589405e-4,0.011779354680312827,784.6 -> 184.1,SM,48112.0434798661,56862.8644943732,48262.8427352904,42127.5432434114,65029.6641464178,55860.8448258332,70450.3859710037,48420.1634864743,3258.0202445983,-0.4977188669023099,9.622699670142994,25.673073419826636,4.0443084049209115e-7,3.035253457893144e-4,784.6 -> 184.1,SM,2163.0201339714,5886.1203422544,7830.9406471256,8708.4007301316,7520.2205734276,3626.900260926,3103.7002334605,3195.3002014158,7257.7205352748,1158.6000823975
SM (d16:1/24:1),0.2348235718318141,11.834443589710812,7.789047087318478,0.005256391180920296,0.08575916481044961,785.6 -> 184.1,SM,29133.1818428128,34797.5623245259,28233.9219131339,26812.1818428046,38890.5428848271,34487.7828254602,38057.2025642515,28688.781524652,3037.2602424613,-0.3632488070836946,9.250583722007658,13.63787856806615,2.2166775255860435e-4,0.022181553106031007,785.6 -> 184.1,SM,2931.1601638787,5551.6004409787,5229.5803260795,5228.6602973926,5690.4804115282,2799.0001945511,2883.1002006532,3363.980228424,4371.9402961719,1069.060066223
