lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank,blank_solvent
C20:0,0.7514741975391994,14.290763837158062,59.35229277691805,1.3182650391643314e-14,1.9787158237856613e-11,311.3 -> 311.3,FFA,111128.347778324,91399.625884988,100582.846771227,111063.867889424,138362.270080541,306446.743469215,137865.929443346,114499.107391343,142206.630249044,196696.854736324
PC (36:3),-0.4977188669023099,9.622699670142994,25.673073419826636,4.0443084049209115e-7,3.035253457893144e-4,784.6 -> 184.1,SM,2163.0201339714,5886.1203422544,7830.9406471256,8708.4007301316,7520.2205734276,3626.900260926,3103.7002334605,3195.3002014158,7257.7205352748,1158.6000823975
SM (d18:1/18:1)9Z)),-0.4796923185392223,9.007098648488567,23.670920223447254,1.1429662031066675e-6,5.718640902877026e-4,729.6 -> 184.1,SM,2655.0801849363,5151.9603614806,4784.9603881843,5208.1803474367,5473.6603393548,2080.8401565546,2466.9001617423,2758.240203855,1534.2201004029,1038.9400634766
C20:3,-0.42703546094845907,12.566644062121703,19.257684418041947,1.1420975705738817e-5,0.004285721133578491,305.3 -> 305.3,FFA,24278.7217674266,30318.6220855694,59615.283981346,28184.7019653305,28080.8819274834,25392.2017898512,27831.8419609038,24482.9417762734,132071.369476319,22173.7016067562
PE (30:3),0.42924934946019233,8.032075895484438,18.447291559806715,1.7466890282796772e-5,0.005243560462895591,658.4444 -> 517.4444,PE,1013.1200714112,2411.0401649482,1799.7201080314,1282.4800834655,1881.2201271052,1644.5001258857,2332.0601577754,2889.1201782229,1047.6400756835,1004.0000762937
PC (36:2),-0.4099958500626031,11.139937001953454,17.69886067391323,2.5878155331916477e-5,0.006473851858867771,786.6 -> 184.1,SM,10380.1007308911,20469.7412033017,20952.4614944652,22279.8414459169,22586.6217727665,10024.7408332866,11534.5208358776,11667.0408744686,11064.9207878084,1828.000133514
C19:0,0.39650429979670737,13.84006720672475,16.651321385069366,4.4919006082115356e-5,0.007324826774158915,297.3 -> 297.3,FFA,78322.625152567,71461.544876065,88197.125991812,95799.266662579,96349.38668824,160286.59143066,90913.646453866,91476.266571049,144517.649429324,96380.587005616
PC (32:2),-0.39782080021451977,9.721033843631016,16.49417978538834,4.879964539746113e-5,0.007324826774158915,730.5 -> 184.1,SM,3800.9202232355,8167.1405563343,7957.4005775473,9213.0806312482,8711.0005264296,3962.2802200322,4890.6602516181,4572.1403160057,1390.7600898739,1216.5400772095
PC (34:2),-0.3960134970559106,11.176711153049261,16.511813313136713,4.8347904623608115e-5,0.007324826774158915,758.6 -> 184.1,SM,9931.6606597877,18795.5611495963,20717.601600645,21671.921791077,21355.5216369592,10370.6008758549,10575.6007499643,11791.080890658,19502.9813156149,1810.4601364139
SM (d18:0/20:0),-0.39574452776222674,12.175851577673638,16.55480854540086,4.726398504055697e-5,0.007324826774158915,761.6 -> 184.1,SM,22143.5212097251,44801.8631744287,43550.4827613698,50486.643585205,45580.8429832395,21459.7217865056,26279.3223495523,29086.90181731,5338.8403549185,2229.5601577756
