TICI1,TICI2,TICI3,TICI4,TICI5,VEH1,VEH3,VEH4,VEH5,peptide_no,percent_sequence_coverage,mol_weight,q_value,score,intensity,msms_count,protein_ids,protein_names,gene_names
3720,3334.8,6375.2,4047.4,4749.7,3775.1,4141.9,4979.6,4535.8,1,2.1,97.692,0,5.2786,21049000,1,A0A0G2JTR4,Active breakpoint cluster region-related protein,Abr
7832.9,5340.2,8241.4,6261.4,7296.3,9426.1,6243.8,6213.1,6216.5,1,1.8,108.08,0,3.6458,274480000,3,A0A0G2JUG7,IQ motif and SEC7 domain-containing protein 1,Igssec1
84502,88533,109430,90615,113090,88833,104130,98954,132680,7,6.1,197.15,0,33.644,2699600000,19,A0A0G2K2P5,Tight junction protein ZO-1,Tjp1
61952,59964,63744,61772,71600,59439,63965,63856,69093,2,4.5,44.535,0,6.6472,690860000,6,A0JPJ7,Obg-like ATPase 1,Iqsec1
131010,137890,146750,158350,179350,127610,155490,163280,179520,4,15.8,29.187,0,19.446,1103100000,8,A0JPM9,Eukaryotic translation initiation factor 3 subunit J,Eif3j
11879,11094,12659,13508,13662,10133,13432,12633,14251,1,3.1,44.874,0,2.6186,26710000,1,A0JPQ9,Chitinase domain-containing protein 1,Chid1
14469,12003,16084,17145,17713,14930,16909,16419,17281,2,3.1,106.76,0,4.1656,63567000,2,A1A5S1,Pre-mRNA-processing factor 6,Prpf6
21455,16106,24570,17234,22393,27400,22948,18584,22391,1,7.8,17.01,0,9.6414,902580000,3,A1L108,Actin-related protein 2/3 complex subunit 5-like protein,Arpc5l
13343,10823,12725,12561,13813,13905,13108,13317,13845,2,4.1,76.565,0,7.0432,1886500000,3,A1L1L2,Transmembrane protein 214,Tmem214
21790,20393,23025,23488,25249,21980,23111,23032,24357,1,3.3,84.071,0,5.6887,333060000,3,A2RRU1,"Glycogen [starch] synthase, muscle",Gys1
35263,28378,37584,33522,36543,37033,35114,31637,35969,3,13.5,30.314,0,7.7129,319910000,3,A2RUW1,Toll-interacting protein,Tollip
7954.2,6960.2,7840.5,9251.5,10074,7328,8982.1,9977.5,9558.9,1,7.7,31.224,0,4.0202,237430000,2,A2VCX1,TIP41-like protein,Tiprl
162890,153010,176290,171370,189090,190310,220780,188420,224190,10,23.1,80.275,0,86.646,4387000000,19,A2VD12,Pre-B-cell leukemia transcription factor-interacting protein 1,Pbxip1
753400,679000,828380,766410,888530,815040,799320,772850,825140,22,60.3,37.477,0,198.82,61131000000,108,A7VJC2,Heterogeneous nuclear ribonucleoproteins A2/B1,Hnrnpa2b1
22356,19787,25386,22214,21937,25618,21545,21196,20280,1,6.8,29.844,0,5.3982,328640000,3,A8WCF8,Tumor protein p63-regulated gene 1-like protein,Tprg1l
41881,37252,41496,42698,45293,48121,39302,42402,43691,2,14.9,16.58,0,14.296,618220000,4,B0BN18,Prefoldin subunit 2,Pfdn2
89280,76035,98953,90138,106170,98376,95281,89366,100540,7,22.1,42.817,0,30.147,2442600000,17,B0BN93,26S proteasome non-ATPase regulatory subunit 13,Psmd13
386790,233650,293750,217100,255730,385020,261780,231470,247080,11,74.6,15.932,0,46.553,10350000000,39,B0BNA5,Coactosin-like protein,Cotl1
124580,107190,125110,122640,142120,122790,126120,125120,138250,5,22.5,36.46,0,42.27,909040000,8,B0BNA7,Eukaryotic translation initiation factor 3 subunit I,Eif3i
164190,143600,182410,164570,200820,174960,178140,179890,200220,7,46.1,31.363,0,60.785,3283900000,20,B0BNE5,S-formylglutathione hydrolase,Esd
21250,19905,24877,22628,25372,22278,21831,22288,24868,5,13.1,51.251,0,1.832,313740000,3,B0BNF1,Septin-8,8-Sep
24787,28319,30649,32624,36199,27814,32481,30420,35821,2,15.2,34.869,0,11.776,353700000,5,B0BNG0,ER membrane protein complex subunit 2,Emc2
74363,60320,86934,73954,86170,86567,82904,75180,86061,1,6.4,30.89,0,9.279,216780000,3,B0BNM1,NAD(P)H-hydrate epimerase,Apoa1bp
54486,42537,60712,55351,60183,49451,52587,50693,52734,3,30.6,12.097,0,7.8824,2014600000,7,B0K020,CDGSH iron-sulfur domain-containing protein 1,Cisd1
37185,32095,35568,33813,39042,34047,36887,33124,35463,1,8.1,16.815,0,4.1501,661380000,6,B0K025,Oligosaccharyltransferase complex subunit OSTC,Ostc
73782,72398,72511,78325,90386,67573,70093,74944,79998,2,5.1,47.989,0,6.7268,373430000,7,B0LT89,Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit,Stk24
44333,36355,42151,41235,47709,42460,43723,40612,48391,2,4.2,46.793,0,5.7365,337410000,3,B1H267,Sorting nexin-5,Snx5
76384,83989,96469,95658,102840,87903,97069,99339,109180,6,19.4,68.842,0,37.177,2364800000,16,B1WC61,"Complex I assembly factor ACAD9, mitochondrial",Acad9
20378,23293,25345,27795,29210,17002,23584,24112,23813,1,12.5,8.1686,0,2.8951,122270000,1,B1WC88,UPF0729 protein C18orf32 homolog,na
20967,14964,24219,20398,23301,25019,21000,19228,20218,2,3.2,137.68,0,9.4056,142960000,2,B2GUV7,Eukaryotic translation initiation factor 5B,Eif5b
18538,16000,21413,20391,21768,19689,20527,20435,20793,3,5.7,108.37,0,10.203,592640000,6,B2GUZ1,Ubiquitin carboxyl-terminal hydrolase 4,Usp4
64408,56105,59177,57147,68624,62528,61825,59259,74108,4,25.9,32.909,0,20.152,940410000,7,B2GUZ5,F-actin-capping protein subunit alpha-1,Capza1
435500,486780,556870,578030,635360,465440,559460,588420,592940,12,39.2,56.203,0,146.48,8991000000,47,B2GV06,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Oxct1
41353,36547,43702,37996,44493,44790,40512,40338,45335,3,7.2,89.584,0,22.623,617200000,7,B2GV24,E3 UFM1-protein ligase 1,Ufl1
12162,11490,10886,11988,13679,12345,12402,12617,12251,1,9.6,17.79,0,5.0279,29572000,1,B2GV38,Ubiquitin-like protein 4A,Ubl4a
8312.3,8001.8,10193,8383.9,10883,9000.6,9550.5,9265,10301,1,5.3,51.326,0,12.661,194280000,3,B2RYF7,WAS protein family homolog 1,Wash1
173740,191990,190590,215120,240060,167340,219060,227890,239760,7,43.5,31.27,0,71.718,6384900000,24,B2RYG6,Ubiquitin thioesterase OTUB1,Otub1
9481.9,7876.9,9812.5,8741.7,10033,10190,8817.5,9104.8,11039,1,3.6,35.816,0.0012796,1.7371,24116000,1,B2RYJ4,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Aasdhppt
8129.4,6302.7,9906.4,7646,9445.5,6710.2,7310.7,7961.2,8419.3,1,10.8,32.754,0,7.2513,101060000,1,B2RYT9,Translational activator of cytochrome c oxidase 1,Taco1
83719,76016,93217,90409,97810,85007,88302,87484,95928,6,26.5,34.581,0,19.949,945170000,12,B2RYW9,Fumarylacetoacetate hydrolase domain-containing protein 2,Fahd2
91765,96648,93787,127360,129350,63049,86457,95775,99524,4,11.6,21.431,0,7.3106,2383200000,9,B2RZ37,Receptor expression-enhancing protein 5,Reep5
131120,123240,147450,138260,158530,138130,162750,146310,164570,6,38.5,20.468,0,28.257,2919200000,20,B2RZ78,Vacuolar protein sorting-associated protein 29,Vps29
