"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein ID","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Sequence length","Sequence lengths","Score","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"P29534;A0A0G2K127",8.23938109895293,9.76191604813158,2193.01955253994,0,0,"P29534","Vascular cell adhesion protein 1","Vcam1","sp|P29534|VCAM1_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1;tr|A0A0G2K127|A0A0G2K127_RAT Vascular cell adhesion protein 1 OS=Rattus norvegicus OX=10116 GN=Vcam1 PE=1 SV=1",81.245,739,"739;606",323.31,16323000,11720000,8938200,32665000,6506400,1262700000,1128300000,985960000,1947300000,756810000,418540,300500,229190,837560,166830,32378000,28932000,25281000,49932000,19405000,8586200,6584300,3801700,13463000,3569500,1925600000,1950900000,2.023e+09,2810100000,2016300000,3,2,2,5,2,58,55,61,63,57
"P70490;Q1PBJ1;A0A0G2K506",-3.74755048485698,8.2734331893437,686.008593297704,3.29815601917245e-151,2.89578098483341e-148,"P70490","Lactadherin","Mfge8","sp|P70490|MFGM_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=2 SV=1;tr|Q1PBJ1|Q1PBJ1_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=1 SV=1;tr|A0A0G2K506|A0A0G2K506_RAT Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=1 SV=1",47.412,427,"427;483;467",323.31,1.012e+09,905880000,698070000,579180000,713470000,61037000,21363000,32261000,15431000,7052700,43998000,39386000,30351000,25182000,31021000,2653800,928820,1402600,670930,306640,799120000,674030000,777790000,635730000,738180000,94258000,44806000,73564000,31591000,21177000,53,49,47,46,54,10,8,5,6,5
"P07895",3.70559538807595,10.2141910111382,673.353072678434,1.8638635887216e-148,1.09098148726505e-145,"P07895","Superoxide dismutase [Mn], mitochondrial","Sod2","sp|P07895|SODM_RAT Superoxide dismutase [Mn], mitochondrial OS=Rattus norvegicus OX=10116 GN=Sod2 PE=1 SV=2",24.674,222,"222;72",323.31,227930000,234410000,181050000,173300000,152730000,2.837e+09,2650800000,1635200000,2073700000,1711900000,20721000,21310000,16459000,15755000,13884000,257910000,240980000,148650000,188520000,155620000,236680000,208570000,212850000,197140000,209190000,3282700000,2481600000,2342300000,2.564e+09,2968500000,16,11,13,13,10,76,86,77,62,72
"B0BN65",3.66676405061536,6.95310374488984,661.690307905654,6.40817065925112e-146,2.81318691941124e-143,"B0BN65",NA,"Fam49a","tr|B0BN65|B0BN65_RAT Family with sequence similarity 49, member A OS=Rattus norvegicus OX=10116 GN=Fam49a PE=1 SV=1",37.328,323,"323",132.94,23094000,33087000,7866800,10438000,20376000,245060000,247810000,229940000,173060000,144440000,1283000,1838200,437050,579860,1132000,13615000,13767000,12774000,9614500,8024600,20589000,38694000,6432000,13442000,34641000,233910000,350790000,302070000,248120000,287280000,3,6,0,2,5,23,29,23,25,22
"P15087;Q5U322;D4A8X4",-3.46757831194632,6.98947892987639,602.671147409585,4.39344657052433e-133,1.54297843556814e-130,"P15087","Carboxypeptidase E","Cpe","sp|P15087|CBPE_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV=1;tr|Q5U322|Q5U322_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=2 SV=1;tr|D4A8X4|D4A8X4_RAT Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV",53.308,476,"476;476;474",92.6,345510000,425930000,327980000,233840000,263900000,17796000,19178000,17587000,10640000,10408000,14396000,17747000,13666000,9743300,10996000,741510,799070,732770,443350,433660,313620000,288010000,289350000,278330000,297310000,27344000,17206000,32996000,19860000,32678000,28,28,39,25,24,4,5,6,3,5
"F1LNL3;Q80ZB2",-3.26662960538892,7.2487806851675,544.618777211251,1.86481225079157e-120,5.45768385398333e-118,"F1LNL3",NA,"Abca1","tr|F1LNL3|F1LNL3_RAT ATP-binding cassette subfamily A member 1 OS=Rattus norvegicus OX=10116 GN=Abca1 PE=1 SV=3;tr|Q80ZB2|Q80ZB2_RAT ATP-binding cassette 1 OS=Rattus norvegicus OX=10116 GN=Abca1 PE=2 SV=1",253.99,2261,"2261;2201",152.49,419310000,347030000,223640000,351750000,275640000,15948000,14933000,16423000,33284000,7828600,4031900,3336800,2150400,3382300,2650400,153350,143590,157910,320040,75275,411430000,313120000,261560000,371810000,375520000,28205000,26739000,32659000,65026000,25310000,31,35,28,33,30,4,4,5,10,3
"D4A051;Q63258-3;Q63258-2;Q63258",2.92777246658219,6.25378984098042,450.624234210307,5.27551852042886e-100,1.32340150312473e-97,"D4A051","Integrin alpha-7;Integrin alpha-7 heavy chain;Integrin alpha-7 light chain;Integrin alpha-7 70 kDa form","Itga7","tr|D4A051|D4A051_RAT Integrin alpha-7 OS=Rattus norvegicus OX=10116 GN=Itga7 PE=3 SV=2;sp|Q63258-3|ITA7_RAT Isoform Alpha-7X1C of Integrin alpha-7 OS=Rattus norvegicus OX=10116 GN=Itga7;sp|Q63258-2|ITA7_RAT Isoform Alpha-7X1A of Integrin alpha-7 OS=Rattus",126.32,1160,"1160;1076;1116;1135",48.11,13265000,13941000,13101000,23757000,16528000,100890000,111040000,91182000,109540000,68069000,260090,273350,256880,465830,324070,1978300,2177300,1787900,2147800,1334700,14878000,23065000,17290000,27858000,28327000,141460000,209890000,151070000,152210000,180160000,2,2,2,6,3,14,21,16,17,13
"P26376;Q9R176",2.83113564523598,7.52854211918401,424.825917276534,2.17291329592052e-94,4.76954468454555e-92,"P26376","Interferon-induced transmembrane protein 3","ifitm3;Ifitm3","sp|P26376|IFM3_RAT Interferon-induced transmembrane protein 3 OS=Rattus norvegicus OX=10116 GN=ifitm3 PE=2 SV=1;tr|Q9R176|Q9R176_RAT Interferon-inducible protein variant 10 OS=Rattus norvegicus OX=10116 GN=rCG_48058 PE=2 SV=1",14.971,137,"137;93;141",323.31,85086000,48968000,37113000,28063000,38100000,505880000,449550000,367420000,357860000,232750000,17017000,9793500,7422500,5612600,7619900,101180000,89909000,73485000,71572000,46551000,63910000,52705000,64202000,53631000,51910000,486940000,380370000,374680000,402310000,359390000,9,6,5,4,6,29,32,22,24,21
"F1LMW3;Q8K3V3",-2.78584953066827,6.14704605487877,412.903560578173,8.55266135434274e-92,1.66871925980287e-89,"F1LMW3","G-protein coupled receptor 56;GPR56 N-terminal fragment;GPR56 C-terminal fragment","Adgrg1;Gpr56","tr|F1LMW3|F1LMW3_RAT Adhesion G-protein-coupled receptor G1 OS=Rattus norvegicus OX=10116 GN=Adgrg1 PE=1 SV=1;sp|Q8K3V3|AGRG1_RAT Adhesion G-protein coupled receptor G1 OS=Rattus norvegicus OX=10116 GN=Adgrg1 PE=1 SV=1",77.284,687,"687;687",67.139,153320000,223970000,121410000,119720000,138040000,15639000,4534900,7525400,11386000,5921400,6132600,8958800,4856200,4788700,5521600,625550,181390,301010,455430,236860,136090000,204340000,144720000,138320000,155470000,34375000,9242300,22647000,22167000,22429000,9,13,8,12,9,3,3,3,3,3
"A0A0G2JV84;Q7TP13",-2.66653513988662,7.3314524060398,382.027382321461,4.50371921004647e-85,7.9085309328416e-83,"A0A0G2JV84",NA,"Gpt2","tr|A0A0G2JV84|A0A0G2JV84_RAT Glutamic--pyruvic transaminase 2 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1;tr|Q7TP13|Q7TP13_RAT Cc2-5 OS=Rattus norvegicus OX=10116 GN=Gpt2 PE=1 SV=1",60.288,544,"544;789",206.03,362140000,508830000,414370000,306920000,322960000,22321000,40301000,38255000,34347000,15147000,13412000,18846000,15347000,11367000,11961000,826700,1492600,1416900,1272100,561000,394970000,350530000,375120000,307340000,323720000,36420000,59258000,82498000,52905000,40838000,32,37,36,29,35,6,8,9,7,2
"B2GUX3;A0A0G2JY07",-2.63611789113173,6.69638465809742,374.284254366622,2.18470816748338e-83,3.48758867463711e-81,"B2GUX3","DNA helicase","Mcm5","tr|B2GUX3|B2GUX3_RAT DNA helicase OS=Rattus norvegicus OX=10116 GN=Mcm5 PE=2 SV=1;tr|A0A0G2JY07|A0A0G2JY07_RAT DNA helicase OS=Rattus norvegicus OX=10116 GN=Mcm5 PE=1 SV=1",82.465,734,"734;734;356",128.24,119710000,259250000,182720000,225750000,191780000,41072000,19569000,22246000,18398000,24760000,2850300,6172600,4350400,5374900,4566200,977910,465930,529660,438040,589530,138860000,223080000,218780000,267850000,274610000,50727000,32131000,34536000,22534000,37500000,11,23,19,25,25,4,4,3,6,7
