"Majority protein IDs","logFC","logCPM","LR","PValue","FDR","Protein IDs","Protein names","Gene names","Fasta headers","Mol. weight [kDa]","Intensity","Intensity C1","Intensity C2","Intensity C3","Intensity C4","Intensity C5","Intensity R1","Intensity R2","Intensity R3","Intensity R4","Intensity R5","iBAQ C1","iBAQ C2","iBAQ C3","iBAQ C4","iBAQ C5","iBAQ R1","iBAQ R2","iBAQ R3","iBAQ R4","iBAQ R5","LFQ intensity C1","LFQ intensity C2","LFQ intensity C3","LFQ intensity C4","LFQ intensity C5","LFQ intensity R1","LFQ intensity R2","LFQ intensity R3","LFQ intensity R4","LFQ intensity R5","MS/MS count C1","MS/MS count C2","MS/MS count C3","MS/MS count C4","MS/MS count C5","MS/MS count R1","MS/MS count R2","MS/MS count R3","MS/MS count R4","MS/MS count R5"
"A0A096P6L8;P04937;P04937-3;F1LST1;P04937-2;P04937-4",2.4571432713811,11.6481735189463,3.46062320282616,0.0628466238598335,0.998146781420804,"A0A096P6L8;P04937;P04937-3;F1LST1;P04937-2;P04937-4;Q6LC76;P97624;Q9Z1G8","Fibronectin;Anastellin","Fn1","tr|A0A096P6L8|A0A096P6L8_RAT Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=2;sp|P04937|FINC_RAT Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1 PE=1 SV=2;sp|P04937-3|FINC_RAT Isoform 3 of Fibronectin OS=Rattus norvegicus OX=10116 GN=Fn1;tr|F1LS",272.44,1438200000,55434000,174660000,17673000,7576200,7985500,101200000,65834000,271740000,409160000,326910000,513280,1617200,163640,70150,73940,937060,609580,2516100,3788600,3026900,59396000,81525000,25935000,0,0,140250000,108090000,205410000,353640000,303980000,13,17,5,2,3,20,17,44,59,44
"B6DYQ7;P04906",0.00290763866529165,10.4095097064957,5.39478261174509e-06,0.998146781420804,0.998146781420804,"B6DYQ7;P04906;Q7TP35","Glutathione S-transferase P","Gstp1","tr|B6DYQ7|B6DYQ7_RAT Glutathione S-transferase pi OS=Rattus norvegicus OX=10116 GN=Gstp1 PE=2 SV=1;sp|P04906|GSTP1_RAT Glutathione S-transferase P OS=Rattus norvegicus OX=10116 GN=Gstp1 PE=1 SV=2",23.439,570960000,70570000,121210000,14173000,34085000,24130000,39175000,40544000,66619000,70924000,89532000,5880800,10101000,1181100,2840400,2010800,3264600,3378600,5551600,5910300,7461000,61788000,61239000,0,61262000,49616000,50934000,52788000,56555000,56064000,56763000,9,5,6,6,9,5,8,6,10,7
"D3ZJ08",1.32700048382604,11.0993721926885,1.08605368287409,0.297347242128019,0.998146781420804,"D3ZJ08","Histone H3","Hist2h3c2","tr|D3ZJ08|D3ZJ08_RAT Histone H3 OS=Rattus norvegicus OX=10116 GN=Hist2h3c2 PE=1 SV=1",15.388,951310000,30925000,51060000,39287000,17169000,49583000,70419000,67114000,201280000,215280000,209190000,7731200,12765000,9821800,4292300,12396000,17605000,16778000,50321000,53821000,52297000,36621000,38823000,58319000,0,66007000,95127000,88085000,140230000,162220000,150270000,3,8,6,3,9,14,13,9,10,11
"D4ACV3;M0RDM4;Q6I8Q6;M0RCL5;K7S2S2;K7R8M0;G3V9C0;D3ZVK7;A9UMV8;Q64598;Q4FZT6;Q00728;P0CC09;P0C170;P0C169;P02262;D3ZXP3;A0A0A0MXW3;D4AEC0;P0C0S7",0.983273272991115,12.5698330355759,0.605300983850837,0.436562578548462,0.998146781420804,"D4ACV3;M0RDM4;Q6I8Q6;M0RCL5;K7S2S2;K7R8M0;G3V9C0;D3ZVK7;A9UMV8;Q64598;Q4FZT6;Q00728;P0CC09;P0C170;P0C169;P02262;D3ZXP3;A0A0A0MXW3;D4AEC0;P0C0S7;M0R6X5;D3ZWE0","Histone H2A;Histone H2A.J;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 4;Histone H2A type 2-A;Histone H2A type 1-E;Histone H2A type 1-C;Histone H2A type 1;Histone H2A.Z","Hist2h2ac;LOC680322;Hist1h2af;LOC100910554;Hist2h2aa2;Hist1h2ao;Hist1h2ac;Hist1h2ak;H2afj;Hist2h2aa3;H2afx;H2afz;H2afv","tr|D4ACV3|D4ACV3_RAT Histone H2A OS=Rattus norvegicus OX=10116 GN=Hist2h2ac PE=3 SV=2;tr|M0RDM4|M0RDM4_RAT Histone H2A OS=Rattus norvegicus OX=10116 GN=LOC680322 PE=3 SV=1;tr|Q6I8Q6|Q6I8Q6_RAT Histone H2A OS=Rattus norvegicus OX=10116 GN=Hist1h2af PE=3 SV=",13.645,2486500000,128930000,239810000,52888000,95208000,119220000,288180000,236020000,441630000,436890000,447740000,25786000,47961000,10578000,19042000,23843000,57636000,47204000,88325000,87378000,89548000,142370000,140160000,101550000,121740000,175490000,284010000,290420000,323530000,363670000,364410000,3,5,3,3,8,14,11,5,10,7
"F1LM84",0.283844587173997,11.7263252346296,0.0513235673990451,0.82077596703116,0.998146781420804,"F1LM84;P08460",NA,"Nid1","tr|F1LM84|F1LM84_RAT Nidogen-1 OS=Rattus norvegicus OX=10116 GN=Nid1 PE=1 SV=1",137.04,1540900000,104500000,454990000,16949000,70387000,49443000,56727000,46272000,232030000,277760000,231860000,2009500,8749800,325940,1353600,950830,1090900,889840,4462200,5341500,4458800,132430000,252910000,0,80593000,64691000,68341000,70744000,187070000,236620000,200760000,13,31,9,12,6,8,8,30,33,32
"G3V7Z4;P07092",1.24261136853905,10.9542316464183,0.956174942084225,0.328152483600644,0.998146781420804,"G3V7Z4;P07092;O88772","Glia-derived nexin","Serpine2","tr|G3V7Z4|G3V7Z4_RAT Glia-derived nexin OS=Rattus norvegicus OX=10116 GN=Serpine2 PE=3 SV=1;sp|P07092|GDN_RAT Glia-derived nexin OS=Rattus norvegicus OX=10116 GN=Serpine2 PE=1 SV=1",44.049,868190000,39379000,142780000,21630000,8174700,11598000,44449000,62059000,167560000,204280000,166280000,1875200,6799000,1030000,389270,552260,2116600,2955200,7979200,9727400,7918100,40739000,73051000,48340000,0,31802000,84596000,90712000,139600000,142940000,104580000,8,10,5,3,4,10,14,17,14,12
"G3V8C3;P31000",0.00522253683417046,12.6726210109381,1.74027322397546e-05,0.996671507973652,0.998146781420804,"G3V8C3;P31000;Q6P725;P48675;G3V712;CON__Q9DCV7;Q496Z5;CON__Q3KNV1;CON__P08729;F1M7P4;CON__P05787;CON__Q9H552;G3V8Q2;CON__Q9NSB2;CON__Q6ISB0;G3V7S2;F1LRZ7;Q6IG12;P21807;Q10758;P23565;P19527;P12839;P16884","Vimentin","Vim","tr|G3V8C3|G3V8C3_RAT Vimentin OS=Rattus norvegicus OX=10116 GN=Vim PE=1 SV=1;sp|P31000|VIME_RAT Vimentin OS=Rattus norvegicus OX=10116 GN=Vim PE=1 SV=2",53.7,2577500000,268720000,482520000,57800000,163230000,120550000,221820000,150860000,403140000,284680000,424220000,7903500,14192000,1700000,4801000,3545700,6524100,4437000,11857000,8373000,12477000,230310000,265720000,150710000,230610000,223630000,261210000,254060000,271530000,233450000,290160000,20,22,9,15,13,20,13,23,23,30
"G3V8R2;P55067",-0.457948208184543,13.6076520223121,0.133251604831386,0.71508420281382,0.998146781420804,"G3V8R2;P55067;A0A0G2K4R4;O70474","Neurocan core protein;150 kDa adult core glycoprotein","Ncan","tr|G3V8R2|G3V8R2_RAT Neurocan core protein OS=Rattus norvegicus OX=10116 GN=Ncan PE=1 SV=1;sp|P55067|NCAN_RAT Neurocan core protein OS=Rattus norvegicus OX=10116 GN=Ncan PE=1 SV=1",136.25,4676500000,447110000,912790000,234410000,335030000,317200000,325560000,344570000,513510000,666290000,579990000,10905000,22263000,5717400,8171500,7736700,7940500,8404100,12525000,16251000,14146000,458360000,485040000,499970000,527720000,454890000,433380000,485510000,347560000,438420000,393990000,40,44,29,38,24,35,31,36,57,41
"P07335",0.0186199600308169,13.2830018048264,0.00022121222365612,0.988133336959886,0.998146781420804,"P07335","Creatine kinase B-type","Ckb","sp|P07335|KCRB_RAT Creatine kinase B-type OS=Rattus norvegicus OX=10116 GN=Ckb PE=1 SV=2",42.725,4204100000,353860000,780410000,174750000,316860000,200020000,304910000,291390000,608870000,593320000,579730000,19659000,43356000,9708200,17603000,11112000,16939000,16188000,33826000,32962000,32207000,321280000,408920000,299180000,319060000,317170000,352460000,372900000,439440000,415550000,436500000,32,28,21,27,26,31,33,37,39,33
"P12346;Q7TMC7;A0A0G2QC06;Q7TP24;P12346-2",-0.125104336270606,19.1038584967084,0.00998305233528621,0.920411628445646,0.998146781420804,"P12346;Q7TMC7;A0A0G2QC06;Q7TP24;P12346-2","Serotransferrin","Tf;Srprb","sp|P12346|TRFE_RAT Serotransferrin OS=Rattus norvegicus OX=10116 GN=Tf PE=1 SV=3;tr|Q7TMC7|Q7TMC7_RAT Ab2-417 OS=Rattus norvegicus OX=10116 PE=2 SV=1;tr|A0A0G2QC06|A0A0G2QC06_RAT Serotransferrin OS=Rattus norvegicus OX=10116 GN=Tf PE=1 SV=1;tr|Q7TP24|Q7TP2",76.394,2.3112e+11,1.8191e+10,5.8517e+10,1.2936e+10,1.5171e+10,1.5033e+10,1.9451e+10,2.0073e+10,2.2092e+10,2.4523e+10,2.5137e+10,478700000,1539900000,340420000,399240000,395590000,511860000,528250000,581360000,645340000,661510000,1.6585e+10,2.9966e+10,1.7358e+10,1.683e+10,1.8407e+10,2.2008e+10,2.412e+10,1.8899e+10,2.1176e+10,2.1464e+10,73,86,81,85,98,312,294,276,272,268
